iter	Passed	Remaining
0	335	33172
1	559	27434
2	835	26998
3	1131	27162
4	1451	27576
5	1777	27842
6	2037	27067
7	2276	26179
8	2481	25090
9	2718	24464
10	2925	23670
11	3152	23114
12	3365	22522
13	3662	22496
14	3908	22145
15	4068	21357
16	4297	20982
17	4578	20857
18	4834	20610
19	5102	20409
20	5319	20012
21	5553	19690
22	5785	19368
23	6092	19292
24	6289	18868
25	6447	18351
26	6706	18131
27	6956	17889
28	7205	17640
29	7492	17481
30	7704	17148
31	7841	16663
32	8015	16273
33	8136	15793
34	8295	15406
35	8557	15212
36	8835	15043
37	9075	14807
38	9415	14727
39	9648	14472
40	7298	10502
41	7555	10434
42	7747	10269
43	7885	10036
44	8028	9812
45	8155	9573
46	8275	9331
47	8370	9067
48	8480	8826
49	8570	8570
50	8741	8398
51	8856	8175
52	8986	7969
53	9187	7826
54	9441	7724
55	9818	7714
56	10100	7619
57	10371	7510
58	10652	7402
59	10915	7277
840
59	12820	8546
60	12911	8254
61	1299863	11562	1311164	11885	6399
65	12105	6236
4	7616665	14377	7406
66	14609	7195
67	14830	6979
68	15061	6766
69	15187	6508
70	15342	6266
71	15429	6000
72	15520	5740
73	15581	5474
4657
75	14076	1411376	14177	1423077	14278	14405	3829
79	14591	3647
80	14786	3468
81	14909	3272
82	15027	3077
83	15149	2885
84	15251	2691
85	15355	2499
86	15459	2310
87	15535	2118
88	15623	1931
95	1915
290	15075	1499391	15193	1394	15226	801
95	15318	638
96	15410	476
97	15500	316
98	15582	157
99	15626	0
